transliterated,reference,distance,address
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.1a', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.1a', 'index': 1}]"
daϑušō,daϑušō,0,"[{'id': 'Y1.1a', 'index': 2}]"
ahurahemazdā̊,,1000,"[{'id': 'Y1.1a', 'index': 3}]"
raēuuatō,raēuuatō,0,"[{'id': 'Y1.1a', 'index': 4}]"
xᵛarənaŋhatō,xᵛarənaŋᵛhatō,1,"[{'id': 'Y1.1a', 'index': 5}]"
mazištaheca,mazištaheca,0,"[{'id': 'Y1.1a', 'index': 6}, {'id': 'Y1.1a', 'index': 7}]"
vahištaheca,vahištaheca,0,"[{'id': 'Y1.1a', 'index': 8}]"
sraēštaheca,sraēštaheca,0,"[{'id': 'Y1.1a', 'index': 9}, {'id': 'Y1.1a', 'index': 10}]"
xraōždištaheca,xraōždištaheca,0,"[{'id': 'Y1.1a', 'index': 11}, {'id': 'Y1.1b', 'index': 0}, {'id': 'Y1.1b', 'index': 1}]"
xraϑβištaheca,xraϑβištaheca,0,"[{'id': 'Y1.1b', 'index': 2}]"
xraϑβištaheca,xraϑβištaheca,0,"[{'id': 'Y1.1b', 'index': 3}]"
hukərəptamaheca,hukərəptəmaheca,1,"[{'id': 'Y1.1b', 'index': 4}]"
hukərəptəmaheca,hukərəptəmaheca,0,"[{'id': 'Y1.1b', 'index': 5}]"
hukərəptamaheca,hukərəptəmaheca,1,"[{'id': 'Y1.1b', 'index': 6}]"
hukərəptəmaheca,hukərəptəmaheca,0,"[{'id': 'Y1.1b', 'index': 7}]"
aṣ̌āt̰,aṣ̌āt̰,0,"[{'id': 'Y1.1b', 'index': 8}]"
apanaōtamaheca,apanōtəmaheca,2,"[{'id': 'Y1.1b', 'index': 9}]"
apanaōtəmaheca,apanōtəmaheca,1,"[{'id': 'Y1.1b', 'index': 10}]"
apanaōtamaheca,apanōtəmaheca,2,"[{'id': 'Y1.1b', 'index': 11}]"
apanaōtəmaheca,apanōtəmaheca,1,"[{'id': 'Y1.1b', 'index': 12}]"
huδā̊manō,huδāmanō,1,"[{'id': 'Y1.1b', 'index': 13}, {'id': 'Y1.1c', 'index': 0}]"
voururafnaŋhō,voururafnaŋhō,0,"[{'id': 'Y1.1c', 'index': 1}]"
yō,yō,0,"[{'id': 'Y1.1c', 'index': 2}, {'id': 'Y1.1d', 'index': 0}]"
nō,nō,0,"[{'id': 'Y1.1d', 'index': 1}]"
daδa,daδa,0,"[{'id': 'Y1.1d', 'index': 2}]"
yō,yō,0,"[{'id': 'Y1.1d', 'index': 3}]"
tataša,tataša,0,"[{'id': 'Y1.1d', 'index': 4}]"
yō,yō,0,"[{'id': 'Y1.1d', 'index': 5}]"
tuϑruiiē,tuϑruiiē,0,"[{'id': 'Y1.1d', 'index': 6}]"
yō,yō,0,"[{'id': 'Y1.1d', 'index': 7}, {'id': 'Y1.1d', 'index': 8}]"
maińiiuš,maińiiuš,0,"[{'id': 'Y1.1d', 'index': 9}]"
spəṇtōtəmō,spəṇtōtəmō,0,"[{'id': 'Y1.1d', 'index': 10}]"
,ā,1,"[{'id': 'Y1.1d', 'index': 11}]"
ńiiuuēδaiiemi,ńiuuaēδaiiemi,2,"[{'id': 'Y1.2a', 'index': 0}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.2a', 'index': 1}]"
ńiiuuēδaiiemi,ńiuuaēδaiiemi,2,"[{'id': 'Y1.2a', 'index': 2}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.2a', 'index': 3}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.2a', 'index': 4}]"
vaŋhauue,vaŋhauue,0,"[{'id': 'Y1.2a', 'index': 5}, {'id': 'Y1.2a', 'index': 6}]"
manaŋhe,manaŋhe,0,"[{'id': 'Y1.2a', 'index': 7}]"
aṣ̌āi,aṣ̌āi,0,"[{'id': 'Y1.2a', 'index': 8}]"
vahištāi,vahištāi,0,"[{'id': 'Y1.2a', 'index': 9}, {'id': 'Y1.2a', 'index': 10}]"
xšaϑriiāi,xšaϑriiō,2,"[{'id': 'Y1.2a', 'index': 11}]"
xšaϑrāi,xšaϑrāi,0,"[{'id': 'Y1.2a', 'index': 12}]"
xšaϑriiāi,xšaϑriiō,2,"[{'id': 'Y1.2a', 'index': 13}]"
xšaϑrāi,xšaϑrāi,0,"[{'id': 'Y1.2a', 'index': 14}]"
vairiiāispəṇtaiiāi,,1000,"[{'id': 'Y1.2a', 'index': 15}]"
ārmaitə̄e,ārmatə̄e,1,"[{'id': 'Y1.2a', 'index': 16}]"
ārmatōišə̄e,ārmatōiš,3,"[{'id': 'Y1.2a', 'index': 17}]"
ārmaitə̄e,ārmatə̄e,1,"[{'id': 'Y1.2a', 'index': 18}]"
ārmatōišə̄e,ārmatōiš,3,"[{'id': 'Y1.2a', 'index': 19}]"
hauruuat̰biia,hauruuat̰biia,0,"[{'id': 'Y1.2a', 'index': 20}, {'id': 'Y1.2a', 'index': 21}]"
amərətat̰biia,amərətat̰biia,0,"[{'id': 'Y1.2a', 'index': 22}]"
gə̄uš,gə̄uš,0,"[{'id': 'Y1.2a', 'index': 23}, {'id': 'Y1.2b', 'index': 0}]"
tašne,tašne,0,"[{'id': 'Y1.2b', 'index': 1}, {'id': 'Y1.2b', 'index': 2}]"
gə̄uš,gə̄uš,0,"[{'id': 'Y1.2b', 'index': 3}]"
urune,urune,0,"[{'id': 'Y1.2b', 'index': 4}]"
āϑre,āϑre,0,"[{'id': 'Y1.2b', 'index': 5}]"
ahurahe,ahurahe,0,"[{'id': 'Y1.2b', 'index': 6}, {'id': 'Y1.2b', 'index': 7}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y1.2b', 'index': 8}]"
yaētuštimāi,yaētuštəmāi,1,"[{'id': 'Y1.2b', 'index': 9}]"
aməṣ̌anąm,aməṣ̌anąm,0,"[{'id': 'Y1.2b', 'index': 10}, {'id': 'Y1.2b', 'index': 11}]"
spəṇtanąm,spəṇtanąm,0,"[{'id': 'Y1.2b', 'index': 12}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.2b', 'index': 13}, {'id': 'Y1.3a', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.3a', 'index': 1}]"
asniiaēibiiō,asńiiaēibiiō,1,"[{'id': 'Y1.3a', 'index': 2}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.3a', 'index': 3}, {'id': 'Y1.3a', 'index': 4}]"
ratubiiō,ratubiiō,0,"[{'id': 'Y1.3a', 'index': 5}]"
hāuuanə̄e,hāuuanə̄e,0,"[{'id': 'Y1.3a', 'index': 6}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.3a', 'index': 7}, {'id': 'Y1.3a', 'index': 8}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.3a', 'index': 9}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.3a', 'index': 10}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.3a', 'index': 11}, {'id': 'Y1.3b', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.3b', 'index': 1}]"
sāuuaŋᵛhə̄e,sāuuaŋhə̄e,1,"[{'id': 'Y1.3b', 'index': 2}]"
vīsiiāica,vīsiiāica,0,"[{'id': 'Y1.3b', 'index': 3}, {'id': 'Y1.3b', 'index': 4}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.3b', 'index': 5}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.3b', 'index': 6}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.3b', 'index': 7}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.3b', 'index': 8}, {'id': 'Y1.3c', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.3c', 'index': 1}]"
miϑrahe,miϑrahe,0,"[{'id': 'Y1.3c', 'index': 2}]"
vourugaōiiaōitōiš,vourugaōiiaōtōiš,1,"[{'id': 'Y1.3c', 'index': 3}]"
hazaŋrōgaōšahe,hazaŋhrōgaōšahe,1,"[{'id': 'Y1.3c', 'index': 4}]"
baēuuarəcašmanō,baēuuarəcašmanō,0,"[{'id': 'Y1.3c', 'index': 5}, {'id': 'Y1.3c', 'index': 6}]"
aōxtōnāmanō,aōxtōnāmanō,0,"[{'id': 'Y1.3c', 'index': 7}]"
yazatahe,yazatahe,0,"[{'id': 'Y1.3c', 'index': 8}, {'id': 'Y1.3c', 'index': 9}]"
rāmanō,rāmanō,0,"[{'id': 'Y1.3c', 'index': 10}]"
xᵛāstrahe,xᵛāstrahe,0,"[{'id': 'Y1.3c', 'index': 11}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.3c', 'index': 12}, {'id': 'Y1.4a', 'index': 0}, {'id': 'Y1.4a', 'index': 1}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.4a', 'index': 2}]"
rapiϑuuanāi,rapiϑβināi,3,"[{'id': 'Y1.4a', 'index': 3}, {'id': 'Y1.4a', 'index': 4}]"
iənāi,isāi,2,"[{'id': 'Y1.4a', 'index': 5}]"
anāi,anā,1,"[{'id': 'Y1.4a', 'index': 6}]"
iənāi,isāi,2,"[{'id': 'Y1.4a', 'index': 7}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.4a', 'index': 8}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.4a', 'index': 9}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.4a', 'index': 10}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.4a', 'index': 11}, {'id': 'Y1.4b', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.4b', 'index': 1}]"
frādat̰fšauue,frādat̰fšauue,0,"[{'id': 'Y1.4b', 'index': 2}]"
zaṇtumāica,zaṇtumasca,2,"[{'id': 'Y1.4b', 'index': 3}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.4b', 'index': 4}]"
ašahe,aṣ̌ahe,1,"[{'id': 'Y1.4b', 'index': 5}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.4b', 'index': 6}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.4b', 'index': 7}, {'id': 'Y1.4c', 'index': 0}, {'id': 'Y1.4c', 'index': 1}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.4c', 'index': 2}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.4c', 'index': 3}]"
vahištahe,vahištahe,0,"[{'id': 'Y1.4c', 'index': 4}]"
āϑrasca,āϑrasca,0,"[{'id': 'Y1.4c', 'index': 5}]"
ahurahe,ahurahe,0,"[{'id': 'Y1.4c', 'index': 6}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y1.4c', 'index': 7}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.4c', 'index': 8}, {'id': 'Y1.5a', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.5a', 'index': 1}, {'id': 'Y1.5a', 'index': 2}]"
uzaiieirināi,uzaiieirināi,0,"[{'id': 'Y1.5a', 'index': 3}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.5a', 'index': 4}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.5a', 'index': 5}, {'id': 'Y1.5a', 'index': 6}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.5a', 'index': 7}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.5a', 'index': 8}, {'id': 'Y1.5b', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.5b', 'index': 1}, {'id': 'Y1.5b', 'index': 2}]"
frādat̰vīrāi,frādat̰vīrāi,0,"[{'id': 'Y1.5b', 'index': 3}]"
dax́iiumāica,dax́iiumāica,0,"[{'id': 'Y1.5b', 'index': 4}, {'id': 'Y1.5b', 'index': 5}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.5b', 'index': 6}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.5b', 'index': 7}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.5b', 'index': 8}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.5b', 'index': 9}, {'id': 'Y1.5c', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.5c', 'index': 1}]"
bərəzatō,bərəzatō,0,"[{'id': 'Y1.5c', 'index': 2}, {'id': 'Y1.5c', 'index': 3}]"
ahurahe,ahurahe,0,"[{'id': 'Y1.5c', 'index': 4}]"
nafəδrō,nafəδrō,0,"[{'id': 'Y1.5c', 'index': 5}]"
apąm,apąm,0,"[{'id': 'Y1.5c', 'index': 6}]"
apasca,apasca,0,"[{'id': 'Y1.5c', 'index': 7}, {'id': 'Y1.5c', 'index': 8}]"
mazdaδātaiiā̊,mazdaδātaiiā̊,0,"[{'id': 'Y1.5c', 'index': 9}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.5c', 'index': 10}, {'id': 'Y1.6a', 'index': 0}, {'id': 'Y1.6a', 'index': 1}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.6a', 'index': 2}]"
aiβisrīϑrəmāi,aiβisrūϑrimāi,2,"[{'id': 'Y1.6a', 'index': 3}, {'id': 'Y1.6a', 'index': 4}]"
aibigiiāi,aibigaiiāi,1,"[{'id': 'Y1.6a', 'index': 5}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.6a', 'index': 6}]"
ašahe,aṣ̌ahe,1,"[{'id': 'Y1.6a', 'index': 7}, {'id': 'Y1.6a', 'index': 8}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.6a', 'index': 9}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.6a', 'index': 10}, {'id': 'Y1.6b', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.6b', 'index': 1}, {'id': 'Y1.6b', 'index': 2}]"
frādat̰vīspąmhujiiātə̄e,frādat̰vīspąmhujiiātə̄e,0,"[{'id': 'Y1.6b', 'index': 3}]"
frādat̰vīspąmhujiiāitə̄e,frādat̰vīspąmhujiiātə̄e,1,"[{'id': 'Y1.6b', 'index': 4}]"
frādat̰vīspąmhujiiātə̄e,frādat̰vīspąmhujiiātə̄e,0,"[{'id': 'Y1.6b', 'index': 5}]"
frādat̰vīspąmhujiiāitə̄e,frādat̰vīspąmhujiiātə̄e,1,"[{'id': 'Y1.6b', 'index': 6}]"
zaraϑuštrōtimāicaaṣ̌aōne,,1000,"[{'id': 'Y1.6b', 'index': 7}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.6b', 'index': 8}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.6b', 'index': 9}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.6b', 'index': 10}, {'id': 'Y1.6c', 'index': 0}, {'id': 'Y1.6c', 'index': 1}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.6c', 'index': 2}]"
aṣ̌āunąm,aṣ̌āunąm,0,"[{'id': 'Y1.6c', 'index': 3}, {'id': 'Y1.6c', 'index': 4}]"
frauuašanąm,frauuaṣ̌inąm,2,"[{'id': 'Y1.6c', 'index': 5}]"
γə̄nąnąmca,γə̄nąnąmca,0,"[{'id': 'Y1.6c', 'index': 6}]"
vīrōvąϑβanąm,vīrōvąϑβanąm,0,"[{'id': 'Y1.6c', 'index': 7}, {'id': 'Y1.6c', 'index': 8}]"
yāiriiā̊sca,vairiiā̊sca,2,"[{'id': 'Y1.6c', 'index': 9}]"
yāiriiaiiā̊sca,yāiriiaiiā̊sca,0,"[{'id': 'Y1.6c', 'index': 10}]"
yāiriiā̊sca,vairiiā̊sca,2,"[{'id': 'Y1.6c', 'index': 11}]"
yāiriiaiiā̊sca,yāiriiaiiā̊sca,0,"[{'id': 'Y1.6c', 'index': 12}]"
hušitōiš,hušitōiš,0,"[{'id': 'Y1.6c', 'index': 13}, {'id': 'Y1.6c', 'index': 14}]"
amaheca,amaheca,0,"[{'id': 'Y1.6c', 'index': 15}]"
hutāštahe,hutāštahe,0,"[{'id': 'Y1.6c', 'index': 16}, {'id': 'Y1.6c', 'index': 17}]"
huraōδahe,huraōδahe,0,"[{'id': 'Y1.6c', 'index': 18}]"
vərəϑraγnaheca,vərəϑraγnaheca,0,"[{'id': 'Y1.6c', 'index': 19}, {'id': 'Y1.6c', 'index': 20}]"
ahuraδātahe,ahuraδātahe,0,"[{'id': 'Y1.6c', 'index': 21}]"
vanaiṇtaiiā̊sca,vanaiṇtiiā̊sca,1,"[{'id': 'Y1.6c', 'index': 22}, {'id': 'Y1.6c', 'index': 23}]"
uparatātō,uparatātō,0,"[{'id': 'Y1.6c', 'index': 24}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.6c', 'index': 25}, {'id': 'Y1.7a', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.7a', 'index': 1}]"
ušahināi,ušahināi,0,"[{'id': 'Y1.7a', 'index': 2}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.7a', 'index': 3}, {'id': 'Y1.7a', 'index': 4}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.7a', 'index': 5}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.7a', 'index': 6}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.7a', 'index': 7}, {'id': 'Y1.7b', 'index': 0}, {'id': 'Y1.7b', 'index': 1}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.7b', 'index': 2}]"
bərəjiiāi,bərəjiiāi,0,"[{'id': 'Y1.7b', 'index': 3}, {'id': 'Y1.7b', 'index': 4}]"
nmāńiiāica,nmāńiiāica,0,"[{'id': 'Y1.7b', 'index': 5}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.7b', 'index': 6}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.7b', 'index': 7}, {'id': 'Y1.7b', 'index': 8}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.7b', 'index': 9}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.7b', 'index': 10}, {'id': 'Y1.7c', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.7c', 'index': 1}, {'id': 'Y1.7c', 'index': 2}]"
sraōšahe,sraōšahe,0,"[{'id': 'Y1.7c', 'index': 3}]"
aṣ̌aiiehe,aṣ̌iiehe,1,"[{'id': 'Y1.7c', 'index': 4}, {'id': 'Y1.7c', 'index': 5}]"
aṣ̌iuuatō,aṣ̌iuuatō,0,"[{'id': 'Y1.7c', 'index': 6}]"
aṣ̌iauuatō,aṣ̌iuuatō,1,"[{'id': 'Y1.7c', 'index': 7}]"
aṣ̌iuuatō,aṣ̌iuuatō,0,"[{'id': 'Y1.7c', 'index': 8}]"
aṣ̌iauuatō,aṣ̌iuuatō,1,"[{'id': 'Y1.7c', 'index': 9}]"
vərəϑrājanō,vərəϑrājanō,0,"[{'id': 'Y1.7c', 'index': 10}]"
frādat̰gaēϑahe,frādat̰gaēϑahe,0,"[{'id': 'Y1.7c', 'index': 11}]"
rašnōiš,aṣ̌ōiš,2,"[{'id': 'Y1.7c', 'index': 12}]"
razištahe,razištahe,0,"[{'id': 'Y1.7c', 'index': 13}, {'id': 'Y1.7c', 'index': 14}]"
arəštātasca,arštātasca,1,"[{'id': 'Y1.7c', 'index': 15}]"
frādat̰gaēϑaiiā̊,frādat̰gaēϑaiiā̊,0,"[{'id': 'Y1.7c', 'index': 16}, {'id': 'Y1.7c', 'index': 17}]"
vərədat̰gaēϑaiiā̊,varədat̰gaēϑaiiā̊,1,"[{'id': 'Y1.7c', 'index': 18}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.7c', 'index': 19}, {'id': 'Y1.8a', 'index': 0}, {'id': 'Y1.8a', 'index': 1}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.8a', 'index': 2}]"
māhiiaēibiiō,māhiiaēibiiō,0,"[{'id': 'Y1.8a', 'index': 3}, {'id': 'Y1.8a', 'index': 4}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.8a', 'index': 5}]"
ratubiiō,ratubiiō,0,"[{'id': 'Y1.8a', 'index': 6}]"
aṇtarəmā̊ŋhāi,aṇtarəmā̊ŋhāi,0,"[{'id': 'Y1.8a', 'index': 7}, {'id': 'Y1.8a', 'index': 8}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.8a', 'index': 9}]"
aṣ̌aheraϑβe,,1000,"[{'id': 'Y1.8a', 'index': 10}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.8a', 'index': 11}, {'id': 'Y1.8b', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.8b', 'index': 1}, {'id': 'Y1.8b', 'index': 2}]"
pərənōmā̊ŋhāi,pərənōmā̊ŋhāi,0,"[{'id': 'Y1.8b', 'index': 3}]"
vīšaptaϑāica,vīšaptaϑāica,0,"[{'id': 'Y1.8b', 'index': 4}, {'id': 'Y1.8b', 'index': 5}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.8b', 'index': 6}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.8b', 'index': 7}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.8b', 'index': 8}, {'id': 'Y1.8b', 'index': 9}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.8b', 'index': 10}, {'id': 'Y1.9a', 'index': 0}]"
haṇkāraiiemiyāiriiaēibiiō,,1000,"[{'id': 'Y1.9a', 'index': 1}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.9a', 'index': 2}]"
ratubiiō,ratubiiō,0,"[{'id': 'Y1.9a', 'index': 3}]"
maiδiiōzarəmaiiāi,maiδiiōizarəmaiiāi,1,"[{'id': 'Y1.9a', 'index': 4}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y1.9a', 'index': 5}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y1.9a', 'index': 6}, {'id': 'Y1.9a', 'index': 7}]"
raϑβe,raϑβe,0,"[{'id': 'Y1.9a', 'index': 8}]"
ńiuuaēδaiiemi,ńiuuaēδaiiemi,0,"[{'id': 'Y1.9a', 'index': 9}, {'id': 'Y1.9b', 'index': 0}]"
haṇkāraiiemi,haṇkāraiiemi,0,"[{'id': 'Y1.9b', 'index': 1}, {'id': 'Y1.9b', 'index': 2}]"
